,prio0:category,prio1:latexA,prio2:latexB,prio3:htmlA,prio4:htmlB,prio5:shortA,prio6:shortB,prio7:shortC
₀,sub.0,,,,,sub0,,
₁,sub.1,,,,,sub1,,
₂,sub.2,,,,,sub2,,
₃,sub.3,,,,,sub3,,
₄,sub.4,,,,,sub4,,
₅,sub.5,,,,,sub5,,
₆,sub.6,,,,,sub6,,
₇,sub.7,,,,,sub7,,
₈,sub.8,,,,,sub8,,
₉,sub.9,,,,,sub9,,
₊,sub.+,,,,,sub+,,
₋,sub.-,,,,,sub-,,
₌,sub.=,,,,,sub=,,
₍,sub.(,,,,,sub(,,
₎,sub.),,,,,sub),,
ₐ,sub.a,,,,,suba,,
ₑ,sub.e,,,,,sube,,
ₕ,sub.h,,,,,subh,,
ₖ,sub.k,,,,,subk,,
ₗ,sub.l,,,,,subl,,
ₘ,sub.m,,,,,subm,,
ₙ,sub.n,,,,,subn,,
ₒ,sub.o,,,,,subo,,
ₚ,sub.p,,,,,subp,,
ₛ,sub.s,,,,,subs,,
ₜ,sub.t,,,,,subt,,
ₓ,sub.x,,,,,subx,,
⁰,sup.0,,,,,sup0,,
¹,sup.1,,,&sup1,,sup1,,
²,sup.2,,,&sup2,,sup2,,
³,sup.3,,,&sup3,,sup3,,
⁴,sup.4,,,,,sup4,,
⁵,sup.5,,,,,sup5,,
⁶,sup.6,,,,,sup6,,
⁷,sup.7,,,,,sup7,,
⁸,sup.8,,,,,sup8,,
⁹,sup.9,,,,,sup9,,
⁺,sup.+,,,,,sup+,,
⁻,sup.-,,,,,sup-,,
⁼,sup.=,,,,,sup=,,
⁽,sup.(,,,,,sup(,,
⁾,sup.),,,,,sup),,
ⁿ,sup.n,,,,,supn,,
ⁱ,sup.i,,,,,supi,,
,,,,,,,,
½,frac.1_2,,,&frac12,&half,1/2,,
⅓,frac.1_3,,,&frac13,,1/3,,
⅔,frac.2_3,,,&frac23,,2/3,,
¼,frac.1_4,,,&frac14,,1/4,,
¾,frac.3_4,,,&frac34,,3/4,,
⅕,frac.1_5,,,&frac15,,1/5,,
⅖,frac.2_5,,,&frac25,,2/5,,
⅙,frac.1_6,,,&frac16,,1/6,,
⅚,frac.5_6,,,&frac56,,5/6,,
⅛,frac.1_8,,,&frac18,,1/8,,
⅜,frac.3_8,,,&frac38,,3/8,,
⅝,frac.5_8,,,&frac58,,5/8,,
⅞,frac.7_8,,,&frac78,,7/8,,
,,,,,,,,
α,lang.gr.alpha,\alpha,,&alpha,,alpha,,
β,lang.gr.beta,\beta,,&beta,,beta,,
γ,lang.gr.gamma,\gamma,,&gamma,,gamma,,
δ,lang.gr.delta,\delta,,&delta,,delta,,
ε,lang.gr.epsilon,\epsilon,,&epsilon,&epsiv,epsilon1,epsilon,
ϵ,lang.gr.epsilon_var,\varepsilon,,&straightepsilon ,&epsi,epsilon2,,
ζ,lang.gr.zeta,\zeta,,&zeta,,zeta,,
η,lang.gr.eta,\eta,,&eta,,,eta,
θ,lang.gr.theta,\theta,,&theta,,theta1,theta,
ϑ,lang.gr.theta_var,\vartheta,,&thetasym,,theta2,,
ι,lang.gr.iota,\iota,,&iota,&thetav,iota,,
κ,lang.gr.kappa,\kappa,,&kappa,,kappa,,
ϰ,lang.gr.kappa_var,,,&kappav,&varkappa,,,
λ,lang.gr.lamda,\lambda,,&lambda,,lamda,lambda,
μ,lang.gr.mu,\mu,,&mu,&micro,mu,,
ν,lang.gr.nu,\nu,,&nu,,nu,,
ξ,lang.gr.xi,\xi,,&xi,,xi,,
ο,lang.gr.omicron,\omicron,,&omicron,,omicron,,
π,lang.gr.pi,\pi,,&pi,,pi,,
ϖ,lang.gr.pi_var,,,&piv,&varpi,,,
ρ,lang.gr.rho,\rho,,&rho,,rho,,
ϱ,lang.gr.rho_var,,,&rhov,&varrho,,,
σ,lang.gr.sigma,\sigma,,&sigma,,sigma1,sigma,
ς,lang.gr.sigma_var,\varsigma,,&sigmaf,&sigmav,sigma2,,
τ,lang.gr.tau,\tau,,&tau,,tau,,
υ,lang.gr.upsilon,\upsilon,,&upsilon,&upsi,upsilon,upsi,
φ,lang.gr.phi,\phi,,&phi,,phi,,
ϕ,lang.gr.phi_straight,,,&straightphi,,,,
